ordtime,menuitem,meal
Breakfast,Jumbo Breakfast,36.9
Breakfast,Deluxe Breakfast,33.3
Breakfast,Hotcakes Deluxe Breakfast,33.3
Breakfast,Sausage N' Egg Twisty Pasta,33.7
Breakfast,Grilled Chicken Twisty Pasta w Egg,38.2
Breakfast,Grilled Chicken Twisty Pasta,35.5
Breakfast,Sausage McMuffin,29.7
Breakfast,Sausage McMuffin with Egg,31
Breakfast,Ham N' Cheese Burger,28.8
Breakfast,Filet-O-Fish,30.6
Breakfast,Scrambled Eggs Burger,30.5
Breakfast,Scrambled Eggs N' Chicken Burger,34.5
Breakfast,Scrambled Eggs N' Ham Burger,34.5
Breakfast,NEW LUNCHEON Meat N' Scrambled Egg Burger,36.5
Regular,Filet-O-Fish,36.4
Regular,Sausage McMuffin,36.4
Regular,GCB,39.6
Regular,Sausage McMuffin with Egg,29
Regular,McSpicy Chicken Filet,39.1
Regular,Big Mac,39.6
Regular,Double Angus Original,55.5
Regular,Cheesy Champignon Angus Burger,50
Regular,Angus Original,45.5
Regular,Chicken McNuggets (6pcs),29
Regular,Chicken McNuggets (9pcs),40
